tiempo,lane_id,vehiculos_en_cola
38.0,337277951#1_0,0
38.0,337277951#4_0,0
38.0,337277951#4_1,0
38.0,337277951#2_0,0
38.0,337277951#2_1,0
38.0,49217102_0,0
38.0,42143912#5_0,0
38.0,42143912#3_0,0
38.0,42143912#4_0,0
38.0,40668087#1_0,1
38.0,49217102_0,0
39.0,337277951#3_0,1
39.0,337277951#3_1,1
39.0,337277951#1_0,0
39.0,337277951#1_0,0
39.0,337277951#4_0,0
39.0,337277951#4_1,0
39.0,337277951#2_0,0
39.0,337277951#2_1,0
39.0,49217102_0,0
39.0,42143912#5_0,0
39.0,42143912#3_0,0
39.0,42143912#4_0,0
39.0,40668087#1_0,1
39.0,49217102_0,0
40.0,337277951#3_0,0
40.0,337277951#3_1,1
40.0,337277951#1_0,0
40.0,337277951#1_0,0
40.0,337277951#4_0,1
40.0,337277951#4_1,0
40.0,337277951#2_0,0
40.0,337277951#2_1,0
40.0,49217102_0,0
40.0,42143912#5_0,0
40.0,42143912#3_0,0
40.0,42143912#4_0,0
40.0,40668087#1_0,1
40.0,49217102_0,0
41.0,337277951#3_0,0
41.0,337277951#3_1,0
41.0,337277951#1_0,0
41.0,337277951#1_0,0
41.0,337277951#4_0,0
41.0,337277951#4_1,1
41.0,337277951#2_0,0
41.0,337277951#2_1,0
41.0,49217102_0,0
41.0,42143912#5_0,0
41.0,42143912#3_0,0
41.0,42143912#4_0,0
41.0,40668087#1_0,1
41.0,49217102_0,0
42.0,337277951#3_0,0
42.0,337277951#3_1,0
42.0,337277951#1_0,0
42.0,337277951#1_0,0
42.0,337277951#4_0,0
42.0,337277951#4_1,0
42.0,337277951#2_0,0
42.0,337277951#2_1,0
42.0,49217102_0,0
42.0,42143912#5_0,0
42.0,42143912#3_0,0
42.0,42143912#4_0,0
42.0,40668087#1_0,0
42.0,49217102_0,0
46.0,567060342#1_0,3
46.0,567060342#0_0,0
46.0,337277973#1_0,0
46.0,337277973#1_1,2
46.0,337277973#0_1,0
46.0,337277973#0_0,0
46.0,567060342#1_0,3
46.0,567060342#0_0,0
46.0,337277981#1_1,0
46.0,337277981#1_0,0
46.0,337277981#2_1,2
46.0,337277981#2_0,0
46.0,42143912#5_0,0
46.0,42143912#3_0,0
46.0,42143912#4_0,0
46.0,337277970#1_0,2
46.0,337277970#1_1,4
46.0,40668087#1_0,0
47.0,567060342#1_0,2
47.0,567060342#0_0,0
47.0,337277973#1_0,0
47.0,337277973#1_1,1
47.0,337277973#0_1,0
47.0,337277973#0_0,0
47.0,567060342#1_0,2
47.0,567060342#0_0,0
47.0,337277981#1_1,0
47.0,337277981#1_0,0
47.0,337277981#2_1,2
47.0,337277981#2_0,0
47.0,42143912#5_0,0
47.0,42143912#3_0,0
47.0,42143912#4_0,0
47.0,337277970#1_0,1
47.0,337277970#1_1,3
47.0,40668087#1_0,0
48.0,567060342#1_0,2
48.0,567060342#0_0,0
48.0,337277973#1_0,0
48.0,337277973#1_1,1
48.0,337277973#0_1,0
48.0,337277973#0_0,0
48.0,567060342#1_0,2
48.0,567060342#0_0,0
48.0,337277981#1_1,0
48.0,337277981#1_0,0
48.0,337277981#2_1,2
48.0,337277981#2_0,0
48.0,42143912#5_0,0
48.0,42143912#3_0,0
48.0,42143912#4_0,0
48.0,337277970#1_0,1
48.0,337277970#1_1,3
48.0,40668087#1_0,0
49.0,567060342#1_0,2
49.0,567060342#0_0,0
49.0,337277973#1_0,0
49.0,337277973#1_1,1
49.0,337277973#0_1,0
49.0,337277973#0_0,0
49.0,567060342#1_0,2
49.0,567060342#0_0,0
49.0,337277981#1_1,0
49.0,337277981#1_0,0
49.0,337277981#2_1,2
49.0,337277981#2_0,0
49.0,42143912#5_0,0
49.0,42143912#3_0,0
49.0,42143912#4_0,0
49.0,337277970#1_0,1
49.0,337277970#1_1,3
49.0,40668087#1_0,0
50.0,567060342#1_0,2
50.0,567060342#0_0,0
50.0,337277973#1_0,0
50.0,337277973#1_1,1
50.0,337277973#0_1,0
50.0,337277973#0_0,0
50.0,567060342#1_0,2
50.0,567060342#0_0,0
50.0,337277981#1_1,0
50.0,337277981#1_0,0
50.0,337277981#2_1,2
50.0,337277981#2_0,0
50.0,42143912#5_0,0
50.0,42143912#3_0,0
50.0,42143912#4_0,0
50.0,337277970#1_0,1
50.0,337277970#1_1,3
50.0,40668087#1_0,0
51.0,567060342#1_0,1
51.0,567060342#0_0,0
51.0,337277973#1_0,0
51.0,337277973#1_1,1
51.0,337277973#0_1,0
51.0,337277973#0_0,0
51.0,567060342#1_0,1
51.0,567060342#0_0,0
51.0,337277981#1_1,0
51.0,337277981#1_0,0
51.0,337277981#2_1,1
51.0,337277981#2_0,0
51.0,42143912#5_0,0
51.0,42143912#3_0,0
51.0,42143912#4_0,0
51.0,337277970#1_0,0
51.0,337277970#1_1,3
51.0,40668087#1_0,0
52.0,567060342#1_0,1
52.0,567060342#0_0,0
52.0,337277973#1_0,1
52.0,337277973#1_1,0
52.0,337277973#0_1,0
52.0,337277973#0_0,0
52.0,567060342#1_0,1
52.0,567060342#0_0,0
52.0,337277981#1_1,0
52.0,337277981#1_0,0
52.0,337277981#2_1,1
52.0,337277981#2_0,0
52.0,42143912#5_0,0
52.0,42143912#3_0,0
52.0,42143912#4_0,0
52.0,337277970#1_0,0
52.0,337277970#1_1,3
52.0,40668087#1_0,0
53.0,567060342#1_0,1
53.0,567060342#0_0,0
53.0,337277973#1_0,1
53.0,337277973#1_1,0
53.0,337277973#0_1,0
53.0,337277973#0_0,0
53.0,567060342#1_0,1
53.0,567060342#0_0,0
53.0,337277981#1_1,0
53.0,337277981#1_0,0
53.0,337277981#2_1,1
53.0,337277981#2_0,0
53.0,42143912#5_0,0
53.0,42143912#3_0,0
53.0,42143912#4_0,0
53.0,337277970#1_0,0
53.0,337277970#1_1,2
53.0,40668087#1_0,0
54.0,567060342#1_0,0
54.0,567060342#0_0,0
54.0,337277973#1_0,1
54.0,337277973#1_1,1
54.0,337277973#0_1,0
54.0,337277973#0_0,0
54.0,567060342#1_0,0
54.0,567060342#0_0,0
54.0,337277981#1_1,0
54.0,337277981#1_0,0
54.0,337277981#2_1,0
54.0,337277981#2_0,0
54.0,42143912#5_0,0
54.0,42143912#3_0,0
54.0,42143912#4_0,0
54.0,337277970#1_0,0
54.0,337277970#1_1,3
54.0,40668087#1_0,0
55.0,567060342#1_0,0
55.0,567060342#0_0,0
55.0,337277973#1_0,1
55.0,337277973#1_1,1
55.0,337277973#0_1,0
55.0,337277973#0_0,0
55.0,567060342#1_0,0
55.0,567060342#0_0,0
55.0,337277981#1_1,0
55.0,337277981#1_0,0
55.0,337277981#2_1,0
55.0,337277981#2_0,0
55.0,42143912#5_0,0
55.0,42143912#3_0,0
55.0,42143912#4_0,0
55.0,337277970#1_0,0
55.0,337277970#1_1,3
55.0,40668087#1_0,0
56.0,567060342#1_0,0
56.0,567060342#0_0,0
56.0,337277973#1_0,1
56.0,337277973#1_1,1
56.0,337277973#0_1,1
56.0,337277973#0_0,0
56.0,567060342#1_0,0
56.0,567060342#0_0,0
56.0,337277981#1_1,0
56.0,337277981#1_0,0
56.0,337277981#2_1,0
56.0,337277981#2_0,0
56.0,42143912#5_0,0
56.0,42143912#3_0,0
56.0,42143912#4_0,0
56.0,337277970#1_0,0
56.0,337277970#1_1,3
56.0,40668087#1_0,0
57.0,567060342#1_0,0
57.0,567060342#0_0,0
57.0,337277973#1_0,1
57.0,337277973#1_1,2
57.0,337277973#0_1,0
57.0,337277973#0_0,0
57.0,567060342#1_0,0
57.0,567060342#0_0,0
57.0,337277981#1_1,0
57.0,337277981#1_0,0
57.0,337277981#2_1,0
57.0,337277981#2_0,0
57.0,42143912#5_0,0
57.0,42143912#3_0,0
57.0,42143912#4_0,0
57.0,337277970#1_0,0
57.0,337277970#1_1,3
57.0,40668087#1_0,0
58.0,567060342#1_0,0
58.0,567060342#0_0,0
58.0,337277973#1_0,1
58.0,337277973#1_1,2
58.0,337277973#0_1,0
58.0,337277973#0_0,0
58.0,567060342#1_0,0
58.0,567060342#0_0,0
58.0,337277981#1_1,0
58.0,337277981#1_0,0
58.0,337277981#2_1,0
58.0,337277981#2_0,0
58.0,42143912#5_0,0
58.0,42143912#3_0,0
58.0,42143912#4_0,0
58.0,337277970#1_0,0
58.0,337277970#1_1,3
58.0,40668087#1_0,0
59.0,567060342#1_0,0
59.0,567060342#0_0,0
