tiempo,semaforo_id,num_vehiculos,fase,duracion_verde
80.0,cluster_12013799525_12013799526_2496228894,0,2,15
80.0,cluster_12013799527_12013799528_2190601967,2,2,15
80.0,cluster_12013799529_12013799530_473195061,0,2,15
81.0,2496228891,0,2,15
81.0,cluster_12013799525_12013799526_2496228894,0,2,15
81.0,cluster_12013799527_12013799528_2190601967,2,2,15
81.0,cluster_12013799529_12013799530_473195061,0,2,15
82.0,2496228891,0,2,15
82.0,cluster_12013799525_12013799526_2496228894,0,2,15
82.0,cluster_12013799527_12013799528_2190601967,2,2,15
82.0,cluster_12013799529_12013799530_473195061,0,2,15
83.0,2496228891,0,2,15
83.0,cluster_12013799525_12013799526_2496228894,0,2,15
83.0,cluster_12013799527_12013799528_2190601967,1,2,15
83.0,cluster_12013799529_12013799530_473195061,0,2,15
84.0,2496228891,0,2,15
84.0,cluster_12013799525_12013799526_2496228894,0,2,15
84.0,cluster_12013799527_12013799528_2190601967,1,2,15
84.0,cluster_12013799529_12013799530_473195061,0,2,15
85.0,2496228891,0,2,15
85.0,cluster_12013799525_12013799526_2496228894,0,2,15
85.0,cluster_12013799527_12013799528_2190601967,1,2,15
85.0,cluster_12013799529_12013799530_473195061,1,2,15
86.0,2496228891,0,2,15
86.0,cluster_12013799525_12013799526_2496228894,0,2,15
86.0,cluster_12013799527_12013799528_2190601967,0,2,15
86.0,cluster_12013799529_12013799530_473195061,1,2,15
87.0,2496228891,0,2,15
87.0,cluster_12013799525_12013799526_2496228894,0,2,15
87.0,cluster_12013799527_12013799528_2190601967,0,2,15
87.0,cluster_12013799529_12013799530_473195061,1,2,15
91.0,2496228891,6,0,21
91.0,cluster_12013799525_12013799526_2496228894,0,0,15
91.0,cluster_12013799527_12013799528_2190601967,0,0,15
91.0,cluster_12013799529_12013799530_473195061,0,0,15
92.0,2496228891,4,0,21
92.0,cluster_12013799525_12013799526_2496228894,0,0,15
92.0,cluster_12013799527_12013799528_2190601967,0,0,15
92.0,cluster_12013799529_12013799530_473195061,0,0,15
93.0,2496228891,3,0,15
93.0,cluster_12013799525_12013799526_2496228894,0,0,15
93.0,cluster_12013799527_12013799528_2190601967,0,0,15
93.0,cluster_12013799529_12013799530_473195061,0,0,15
94.0,2496228891,4,0,23
94.0,cluster_12013799525_12013799526_2496228894,0,0,15
94.0,cluster_12013799527_12013799528_2190601967,0,0,15
94.0,cluster_12013799529_12013799530_473195061,0,0,15
95.0,2496228891,4,0,21
95.0,cluster_12013799525_12013799526_2496228894,0,0,15
95.0,cluster_12013799527_12013799528_2190601967,0,0,15
